date,max_temp(C),min_temp(C),avg_temp(C),avg discharge (cfs),outflow(m3/d)
2010-04-22 00:00:00+00:00,,,,,
2010-04-23 00:00:00+00:00,,,,,
2010-04-24 00:00:00+00:00,,,,,
2010-04-25 00:00:00+00:00,,,,,
2010-04-26 00:00:00+00:00,,,,,
2010-04-27 00:00:00+00:00,,,,,
2010-04-28 00:00:00+00:00,,,,,
2010-04-29 00:00:00+00:00,,,,,
2010-04-30 00:00:00+00:00,,,,,
2010-05-01 00:00:00+00:00,,,,,
2010-05-02 00:00:00+00:00,,,,,
2010-05-03 00:00:00+00:00,,,,,
2010-05-04 00:00:00+00:00,,,,,
2010-05-05 00:00:00+00:00,,,,,
2010-05-06 00:00:00+00:00,,,,,
2010-05-07 00:00:00+00:00,,,,,
2010-05-08 00:00:00+00:00,,,,,
2010-05-09 00:00:00+00:00,,,,,
2010-05-10 00:00:00+00:00,,,,,
2010-05-11 00:00:00+00:00,,,,,
2010-05-12 00:00:00+00:00,,,,,
2010-05-13 00:00:00+00:00,,,,,
2010-05-14 00:00:00+00:00,,,,,
2010-05-15 00:00:00+00:00,,,,,
2010-05-16 00:00:00+00:00,,,,,
2010-05-17 00:00:00+00:00,,,,,
2010-05-18 00:00:00+00:00,,,,,
2010-05-19 00:00:00+00:00,,,,,
2010-05-20 00:00:00+00:00,,,,,
2010-05-21 00:00:00+00:00,,,,,
2010-05-22 00:00:00+00:00,,,,,
2010-05-23 00:00:00+00:00,,,,,
2010-05-24 00:00:00+00:00,,,,,
2010-05-25 00:00:00+00:00,,,,,
2010-05-26 00:00:00+00:00,,,,,
2010-05-27 00:00:00+00:00,,,,,
2010-05-28 00:00:00+00:00,,,,,
2010-05-29 00:00:00+00:00,,,,,
2010-05-30 00:00:00+00:00,,,,,
2010-05-31 00:00:00+00:00,,,,,
2010-06-01 00:00:00+00:00,,,,,
2010-06-02 00:00:00+00:00,,,,,
2010-06-03 00:00:00+00:00,,,,,
2010-06-04 00:00:00+00:00,,,,,
2010-06-05 00:00:00+00:00,,,,,
2010-06-06 00:00:00+00:00,,,,,
2010-06-07 00:00:00+00:00,,,,,
2010-06-08 00:00:00+00:00,,,,,
2010-06-09 00:00:00+00:00,,,,,
2010-06-10 00:00:00+00:00,,,,,
2010-06-11 00:00:00+00:00,,,,,
2010-06-12 00:00:00+00:00,,,,,
2010-06-13 00:00:00+00:00,,,,,
2010-06-14 00:00:00+00:00,,,,,
2010-06-15 00:00:00+00:00,,,,,
2010-06-16 00:00:00+00:00,,,,,
2010-06-17 00:00:00+00:00,,,,,
